date;value;year;month;day;week;startDate;endDate;weekOrder
2018-01-08 00:00:00;0.67;2018;1;8;55;2018 1 8;2018 1 14;3
2018-01-09 00:00:00;0.61;2018;1;9;55;-;-;3
2018-01-10 00:00:00;0.79;2018;1;10;55;-;-;3
2018-01-11 00:00:00;0.3;2018;1;11;55;-;-;3
2018-01-12 00:00:00;9.52;2018;1;12;55;-;-;3
2018-01-13 00:00:00;2.61;2018;1;13;55;-;-;3
2018-01-14 00:00:00;0.98;2018;1;14;55;-;-;3
2018-01-15 00:00:00;0.61;2018;1;15;56;2018 1 15;2018 1 21;4
2018-01-16 00:00:00;0.4;2018;1;16;56;-;-;4
2018-01-17 00:00:00;0.66;2018;1;17;56;-;-;4
2018-01-18 00:00:00;11.57;2018;1;18;56;-;-;4
2018-01-19 00:00:00;6.61;2018;1;19;56;-;-;4
2018-01-20 00:00:00;6.7;2018;1;20;56;-;-;4
2018-01-21 00:00:00;6.8;2018;1;21;56;-;-;4
2018-01-22 00:00:00;1.68;2018;1;22;57;2018 1 22;2018 1 28;1
2018-01-23 00:00:00;2.26;2018;1;23;57;-;-;1
2018-01-24 00:00:00;2.26;2018;1;24;57;-;-;1
2018-01-25 00:00:00;2.85;2018;1;25;57;-;-;1
2018-01-26 00:00:00;0.33;2018;1;26;57;-;-;1
2018-01-27 00:00:00;0.46;2018;1;27;57;-;-;1
2018-01-28 00:00:00;1.14;2018;1;28;57;-;-;1
2018-01-29 00:00:00;1.72;2018;1;29;58;2018 1 29;2018 2 4;2
2018-01-30 00:00:00;1.05;2018;1;30;58;-;-;2
2018-01-31 00:00:00;0.38;2018;1;31;58;-;-;2
2018-02-01 00:00:00;0.73;2018;2;1;58;-;-;2
2018-02-02 00:00:00;1.07;2018;2;2;58;-;-;2
2018-02-03 00:00:00;0.4;2018;2;3;58;-;-;2
2018-02-04 00:00:00;0.31;2018;2;4;58;-;-;2
2018-02-05 00:00:00;0.6;2018;2;5;59;2018 2 5;2018 2 11;3
2018-02-06 00:00:00;0.72;2018;2;6;59;-;-;3
2018-02-07 00:00:00;0.46;2018;2;7;59;-;-;3
2018-02-08 00:00:00;1.25;2018;2;8;59;-;-;3
2018-02-09 00:00:00;0.96;2018;2;9;59;-;-;3
2018-02-10 00:00:00;0.88;2018;2;10;59;-;-;3
2018-02-11 00:00:00;0.61;2018;2;11;59;-;-;3
2018-02-12 00:00:00;2.36;2018;2;12;60;2018 2 12;2018 2 18;4
2018-02-13 00:00:00;1.1;2018;2;13;60;-;-;4
2018-02-14 00:00:00;8.22;2018;2;14;60;-;-;4
2018-02-15 00:00:00;7.15;2018;2;15;60;-;-;4
2018-02-16 00:00:00;2.66;2018;2;16;60;-;-;4
2018-02-17 00:00:00;1.08;2018;2;17;60;-;-;4
2018-02-18 00:00:00;1.07;2018;2;18;60;-;-;4
2018-02-19 00:00:00;0.6;2018;2;19;61;2018 2 19;2018 2 25;1
