date,MXIL
2019-12-29,7.4787
2019-12-30,10.635
2019-12-31,7.17
2020-01-01,2.5
2020-01-02,4.94
2020-01-03,9.57
2020-01-04,2.2
2020-01-05,3.04
2020-01-06,2.98
2020-01-07,7.3
2020-01-08,9.38
2020-01-09,4.63
2020-01-10,2.34
2020-01-11,5.0
2020-01-12,4.58
2020-01-13,8.01
2020-01-14,1.63
2020-01-15,1.91
2020-01-16,2.18
2020-01-17,0.98
2020-01-18,2.12
2020-01-19,0.26
2020-01-20,0.6
2020-01-21,1.43
2020-01-22,4.87
2020-01-23,2.91
2020-01-24,4.11
2020-01-25,3.05
2020-01-26,3.3
2020-01-27,2.29
2020-01-28,1.89
2020-01-29,5.42
2020-01-30,6.59
2020-01-31,7.59
2020-02-01,5.59
2020-02-02,6.93
2020-02-03,7.4
2020-02-04,1.91
2020-02-05,0.84
2020-02-06,6.55
2020-02-07,5.08
2020-02-08,1.97
2020-02-09,3.21
2020-02-10,3.55
2020-02-11,2.0
2020-02-12,1.71
2020-02-13,11.73
2020-02-14,3.36
2020-02-15,3.38
2020-02-16,6.03
2020-02-17,0.7
2020-02-18,7.01
2020-02-19,2.92
2020-02-20,2.42
2020-02-21,2.45
2020-02-22,1.65
2020-02-23,0.81
2020-02-24,11.01
2020-02-25,1.01
2020-02-26,0.69
2020-02-27,1.09
2020-02-28,2.92
2020-02-29,0.31
2020-03-01,0.58
2020-03-02,0.63
2020-03-03,0.53
2020-03-04,2.37
2020-03-05,1.07
2020-03-06,0.68
2020-03-07,0.95
2020-03-08,1.19
2020-03-09,1.11
2020-03-10,2.09
2020-03-11,1.82
2020-03-12,0.53
2020-03-13,0.45
2020-03-14,0.72
2020-03-15,0.75
2020-03-16,0.35
2020-03-17,0.61
2020-03-18,1.54
2020-03-19,1.32
2020-03-20,1.5
2020-03-21,0.69
2020-03-22,0.21
2020-03-23,0.22
2020-03-24,0.66
2020-03-25,0.93
2020-03-26,0.44
2020-03-27,0.2
2020-03-28,0.74
2020-03-29,0.28
2020-03-30,0.18
2020-03-31,0.17
2020-04-01,0.21
2020-04-02,0.19
2020-04-03,0.24
2020-04-04,0.6
2020-04-05,0.18
2020-04-06,0.18
2020-04-07,0.21
2020-04-08,0.15
2020-04-09,0.14
2020-04-10,0.09
2020-04-11,0.08
2020-04-12,0.07
2020-04-13,0.26
2020-04-14,1.0
2020-04-15,0.75
2020-04-16,0.71
2020-04-17,0.4
2020-04-18,0.74
2020-04-19,0.07
2020-04-20,0.25
2020-04-21,0.1
2020-04-22,0.53
2020-04-23,0.2
2020-04-24,0.29
2020-04-25,0.09
2020-04-26,0.07
2020-04-27,0.16
2020-04-28,0.46
2020-04-29,0.71
2020-04-30,0.24
2020-05-01,0.1
2020-05-02,0.25
2020-05-03,0.28
2020-05-04,2.98
2020-05-05,0.42
2020-05-06,0.93
2020-05-07,0.41
2020-05-08,0.53
2020-05-09,0.1
2020-05-10,0.1
2020-05-11,0.81
2020-05-12,0.09
2020-05-13,0.09
2020-05-14,0.12
2020-05-15,0.27
2020-05-16,0.45
2020-05-17,0.45
2020-05-18,0.63
2020-05-19,0.99
2020-05-20,2.32
2020-05-21,0.38
2020-05-22,0.25
2020-05-23,0.38
2020-05-24,0.07
2020-05-25,0.16
2020-05-26,0.41
2020-05-27,0.68
2020-05-28,1.44
